feature,count
linguaalveolar,2659
linguapalatal,607
fricative,1668
nonsonorant,3290
glide,326
affricate,74
voiceless,1790
liquid,784
nasal,903
labiodental,340
bilabial,805
stop,1548
linguavelar,301
coronal,2981
glottal,182
sonorant,2013
nonsibilant,4566
voiced,3513
sibilant,737
noncoronal,2322
linguadental,409
