feature,count
linguaalveolar,580
linguapalatal,132
fricative,354
nonsonorant,720
glide,69
affricate,33
voiceless,395
liquid,171
nasal,204
labiodental,64
bilabial,181
stop,333
linguavelar,88
coronal,638
glottal,44
sonorant,444
nonsibilant,993
voiced,769
sibilant,171
noncoronal,526
linguadental,75
