feature,count
linguaalveolar,314
linguapalatal,69
fricative,210
nonsonorant,398
glide,40
affricate,9
voiceless,220
liquid,89
nasal,121
labiodental,41
bilabial,95
stop,179
linguavelar,51
coronal,354
glottal,28
sonorant,250
nonsibilant,557
voiced,428
sibilant,91
noncoronal,294
linguadental,50
