feature,count
linguaalveolar,524
linguapalatal,137
fricative,332
nonsonorant,666
glide,98
affricate,14
voiceless,408
liquid,142
nasal,172
labiodental,71
bilabial,166
stop,320
linguavelar,65
coronal,570
glottal,42
sonorant,412
nonsibilant,932
voiced,670
sibilant,146
noncoronal,508
linguadental,73
