feature,count
linguaalveolar,2232
linguapalatal,528
fricative,1351
nonsonorant,2770
glide,282
affricate,71
voiceless,1550
liquid,711
nasal,719
labiodental,269
bilabial,665
stop,1348
linguavelar,307
coronal,2544
glottal,158
sonorant,1712
nonsibilant,3881
voiced,2932
sibilant,601
noncoronal,1938
linguadental,323
