feature,count
linguaalveolar,211
linguapalatal,33
fricative,109
nonsonorant,239
glide,21
affricate,8
voiceless,140
liquid,45
nasal,63
labiodental,18
bilabial,48
stop,122
linguavelar,33
coronal,207
glottal,6
sonorant,129
nonsibilant,302
voiced,228
sibilant,66
noncoronal,161
linguadental,19
