feature,count
linguaalveolar,19
linguapalatal,7
fricative,12
nonsonorant,27
glide,5
affricate,1
voiceless,14
liquid,10
nasal,6
labiodental,2
bilabial,9
stop,14
linguavelar,6
coronal,25
glottal,1
sonorant,21
nonsibilant,43
voiced,34
sibilant,5
noncoronal,23
linguadental,4
