feature,count
linguaalveolar,327
linguapalatal,74
fricative,196
nonsonorant,400
glide,36
affricate,7
voiceless,220
liquid,105
nasal,124
labiodental,43
bilabial,106
stop,197
linguavelar,47
coronal,363
glottal,24
sonorant,265
nonsibilant,580
voiced,445
sibilant,85
noncoronal,302
linguadental,44
