feature,count
linguaalveolar,114
linguapalatal,22
fricative,65
nonsonorant,127
glide,7
affricate,3
voiceless,69
liquid,29
nasal,48
labiodental,11
bilabial,31
stop,59
linguavelar,10
coronal,115
glottal,9
sonorant,84
nonsibilant,180
voiced,142
sibilant,31
noncoronal,96
linguadental,14
