feature,count
linguaalveolar,36
linguapalatal,8
fricative,25
nonsonorant,46
glide,3
affricate,2
voiceless,26
liquid,13
nasal,7
labiodental,3
bilabial,6
stop,19
linguavelar,3
coronal,45
glottal,6
sonorant,23
nonsibilant,60
voiced,43
sibilant,9
noncoronal,24
linguadental,7
