feature,count
linguaalveolar,57
linguapalatal,12
fricative,26
nonsonorant,62
glide,11
affricate,2
voiceless,34
liquid,13
nasal,15
labiodental,1
bilabial,15
stop,34
linguavelar,8
coronal,57
glottal,2
sonorant,39
nonsibilant,84
voiced,67
sibilant,17
noncoronal,44
linguadental,6
