feature,count
linguaalveolar,273
linguapalatal,50
fricative,174
nonsonorant,334
glide,33
affricate,7
voiceless,197
liquid,74
nasal,103
labiodental,26
bilabial,80
stop,153
linguavelar,45
coronal,304
glottal,22
sonorant,210
nonsibilant,466
voiced,347
sibilant,78
noncoronal,240
linguadental,48
