feature,count
linguaalveolar,895
linguapalatal,174
fricative,541
nonsonorant,1122
glide,123
affricate,30
voiceless,656
liquid,224
nasal,344
labiodental,92
bilabial,320
stop,551
linguavelar,132
coronal,950
glottal,83
sonorant,691
nonsibilant,1564
voiced,1157
sibilant,249
noncoronal,863
linguadental,117
