feature,count
linguaalveolar,73
linguapalatal,13
fricative,44
nonsonorant,102
glide,7
affricate,7
voiceless,59
liquid,21
nasal,23
labiodental,9
bilabial,27
stop,51
linguavelar,13
coronal,79
glottal,8
sonorant,51
nonsibilant,136
voiced,94
sibilant,17
noncoronal,74
linguadental,10
