feature,count
linguaalveolar,1007
linguapalatal,204
fricative,598
nonsonorant,1226
glide,116
affricate,28
voiceless,716
liquid,308
nasal,352
labiodental,102
bilabial,317
stop,600
linguavelar,144
coronal,1122
glottal,94
sonorant,776
nonsibilant,1734
voiced,1286
sibilant,268
noncoronal,880
linguadental,134
