play	character	numlines
1H4	Archbishop	2862
1H4	Bardolph	2124
1H4	Bedford	714
1H4	Blunt	3321
1H4	Chamberlain	1575
1H4	Douglas	3668
1H4	DRAWERS.Francis	642
1H4	Falstaff	55972
1H4	Gadshill	3517
1H4	Glendower	6535
1H4	HenryIV	28457
1H4	HenryV	46194
1H4	Hotspur	46504
1H4	LadyPercy	4403
1H4	MESSENGERS.1	73
1H4	MESSENGERS.2	92
1H4	MESSENGERS.X	543
1H4	MistressQuickly	4001
1H4	Mortimer	5168
1H4	Northumberland	1978
1H4	Ostler	0
1H4	Peto	904
1H4	Poins	5936
1H4	SERVANTS.HOTSPUR.1	189
1H4	Sheriff	667
1H4	SirMichael	597
1H4	TRAVELERS.CARRIERS.1	1615
1H4	TRAVELERS.CARRIERS.2	1440
1H4	TRAVELERS.CARRIERS	37
1H4	TRAVELERS.CARRIERS.X	40
1H4	TRAVELERS.GENTLEMEN.0.1	343
1H4	TRAVELERS.GENTLEMEN	134
1H4	Vernon	5187
1H4	Vintner	317
1H4	Westmoreland	3233
1H4	Worcester	15935
1H6	Alanson	3878
1H6	Basset	2184
1H6	Bastard	2409
1H6	Bedford	6605
1H6	Boy	329
1H6	Burgundy	3676
1H6	CardinalBeaufort	8023
1H6	Charles	11144
1H6	Countess	3840
1H6	Exeter	5245
1H6	Fastolf	610
1H6	Gargrave	196
1H6	General	2308
1H6	Glansdale	92
1H6	Gloucester	15915
1H6	HenryVI	15569
1H6	JAILERS.0.1	341
1H6	JohnTalbot	4192
1H6	Lawyer	287
1H6	Legate	71
1H6	Lucy	6800
1H6	MasterGunner	1451
1H6	Mayor	1785
1H6	MESSENGERS.ENGLISH.1	1364
1H6	MESSENGERS.ENGLISH.2	529
1H6	MESSENGERS.ENGLISH.3	3838
1H6	MESSENGERS.ENGLISH.X.1	355
1H6	MESSENGERS.ENGLISH.X.2	525
1H6	MESSENGERS.FRENCH.1	1153
1H6	Mortimer	7543
1H6	OFFICERS.0.1	550
1H6	Porter	32
1H6	Pucelle	21697
1H6	QueenMargaret	2685
1H6	Reignier	4975
1H6	Salisbury	1202
1H6	SERVANTS.1	64
1H6	SERVANTS.2	34
1H6	SERVANTS.3	87
1H6	SERVANTS.GLOUCESTER.0.1	466
1H6	SERVANTS.GLOUCESTER.0.2	875
1H6	SERVANTS.GLOUCESTER	214
1H6	SERVANTS.TALBOT.1	94
1H6	SERVANTS.WINCHESTER.0.1	283
1H6	Shepherd	2011
1H6	SOLDIERS.ENGLISH.0.1	83
1H6	SOLDIERS.ENGLISH.1	348
1H6	SOLDIERS.ENGLISH.Captain	246
1H6	SOLDIERS.ENGLISH.SOMERSET.0.1	168
1H6	SOLDIERS.FRENCH.PUCELLE.0.1	225
1H6	SOLDIERS.FRENCH.Scout	436
1H6	SOLDIERS.FRENCH.Sergeant	344
1H6	Somerset	5615
1H6	Suffolk	14624
1H6	Talbot	34285
1H6	Vernon	2520
1H6	WARDERS.1	230
1H6	WARDERS.2	69
1H6	Warwick	6118
1H6	Watchman	104
1H6	WATCHMEN.1	346
1H6	Woodville	459
1H6	York	15433
2H4	Archbishop	12355
2H4	Bardolph	3221
2H4	BEADLES.0.1	782
2H4	Bedford	9106
2H4	Bullcalf	1143
2H4	ChiefJustice	12341
2H4	Chorus	3362
2H4	Clarence	1885
2H4	Colevile	619
2H4	Davy	2883
2H4	DollTearsheet	6440
2H4	DRAWERS.1	705
2H4	DRAWERS.Francis	567
2H4	DRAWERS.Will	327
2H4	DRAWERS.X	92
2H4	Epilogue	3557
2H4	Falstaff	57630
2H4	Feeble	892
2H4	Gloucester	1366
2H4	GROOMS.1	201
2H4	GROOMS.2	72
2H4	Harcourt	702
2H4	Hastings	4732
2H4	HenryIV	25342
2H4	HenryV	26336
2H4	LadyNorthumberland	388
2H4	LadyPercy	4121
2H4	LordBardolph	7208
2H4	MESSENGERS.1	375
2H4	MESSENGERS.Gower	617
2H4	MistressQuickly	14144
2H4	Morton	7060
2H4	Mouldy	1030
2H4	Mowbray	4851
2H4	Northumberland	8981
2H4	OFFICERS.Fang	560
2H4	OFFICERS.Snare	200
2H4	Peto	536
2H4	Pistol	5646
2H4	Poins	5085
2H4	Porter	288
2H4	SERVANTS.CHIEFJUSTICE.1	868
2H4	SERVANTS.FALSTAFF.1	2336
2H4	Shadow	62
2H4	Shallow	15828
2H4	Silence	2645
2H4	Travers	1292
2H4	Wart	35
2H4	Warwick	6460
2H4	Westmoreland	9658
2H6	Beadle	79
2H6	Bevis	1790
2H6	Bolingbroke	2005
2H6	Buckingham	6556
2H6	Cade	22491
2H6	CardinalBeaufort	9068
2H6	CITIZENS.LONDON.0.1	431
2H6	CITIZENS.STALBANS.0.1	309
2H6	CITIZENS	212
2H6	Clerk	184
2H6	Clifford	4817
2H6	Dick	3478
2H6	DuchessOfGloucester	10284
2H6	EdwardIV	87
2H6	FOLLOWERS.CADE.0	757
2H6	FOLLOWERS.CADE	720
2H6	GENTLEMEN.1	629
2H6	GENTLEMEN.2	97
2H6	George	375
2H6	Gloucester	25901
2H6	HenryVI	27336
2H6	HERALDS.X.1	222
2H6	Holland	2041
2H6	Horner	1876
2H6	Hume	2679
2H6	Iden	4404
2H6	Jourdain	267
2H6	Lieutenant	5328
2H6	Master	96
2H6	Mate	96
2H6	MayorOfStAlbans	154
2H6	MESSENGERS.1	979
2H6	MESSENGERS.2	432
2H6	MESSENGERS.Post	481
2H6	MESSENGERS.X.1	273
2H6	MESSENGERS.X.2	340
2H6	MESSENGERS.X.3	589
2H6	Michael	691
2H6	MURDERERS.0.1	331
2H6	MURDERERS.0.2	159
2H6	NEIGHBORS.1	216
2H6	NEIGHBORS.2	72
2H6	NEIGHBORS.3	162
2H6	PETITIONERS.0.1	873
2H6	PETITIONERS.0.2	469
2H6	PETITIONERS	40
2H6	PRENTICES.1	107
2H6	PRENTICES.2	146
2H6	QueenMargaret	27034
2H6	RichardIII	2150
2H6	Salisbury	8136
2H6	Sawyer	366
2H6	Saye	4112
2H6	Scales	682
2H6	SERVANTS.GLOUCESTER.0.1	139
2H6	Sheriff	363
2H6	Simpcox	1728
2H6	SimpcoxWife	578
2H6	Smith	1752
2H6	SOLDIERS.1	42
2H6	Somerset	2222
2H6	Spirit	690
2H6	Stafford	1324
2H6	Stanley	657
2H6	Suffolk	25254
2H6	Thump	2031
2H6	Vaux	962
2H6	Warwick	11733
2H6	Whitmore	1631
2H6	WilliamStafford	512
2H6	York	33110
2H6	YoungClifford	3727
3H6	ALDERMEN	59
3H6	ATTENDANTS.EDWARD.1	196
3H6	Clarence	9236
3H6	Clifford	11936
3H6	EdwardIV	38564
3H6	Exeter	1461
3H6	Father	2348
3H6	GAMEKEEPERS.1	1503
3H6	GAMEKEEPERS.2	1298
3H6	Hastings	1880
3H6	HenryVI	31640
3H6	Huntsman	184
3H6	JohnMortimer	98
3H6	KingLewis	5750
3H6	LadyBona	811
3H6	Lieutenant	259
3H6	MayorOfYork	503
3H6	MESSENGERS.1	67
3H6	MESSENGERS.2	56
3H6	MESSENGERS.Post	2596
3H6	MESSENGERS.X.1	388
3H6	MESSENGERS.X.2	1822
3H6	MESSENGERS.X.3	269
3H6	MESSENGERS.X.4	524
3H6	MESSENGERS.X.5	176
3H6	Montague	1319
3H6	Montgomery	1272
3H6	Norfolk	273
3H6	Northumberland	2549
3H6	Oxford	3118
3H6	PrinceEdward	3867
3H6	QueenElizabeth	6531
3H6	QueenMargaret	24551
3H6	RichardIII	34772
3H6	Rivers	620
3H6	Rutland	1965
3H6	SOLDIERS.MONTGOMERY	59
3H6	SOLDIERS.YORK.0.1	266
3H6	SOLDIERS.YORK	59
3H6	Somerset	2995
3H6	Somerville	479
3H6	Son	1969
3H6	Tutor	278
3H6	Warwick	38823
3H6	WATCHMEN.1	676
3H6	WATCHMEN.2	497
3H6	WATCHMEN.3	817
3H6	Westmorland	928
3H6	York	14895
Ado	Antonio	173
Ado	ATTENDANTS.0.1	36
Ado	Balthasar	1853
Ado	Beatrice	24990
Ado	Benedick	39627
Ado	Borachio	11167
Ado	Boy	53
Ado	Claudio	21521
Ado	Conrade	2566
Ado	Dogberry	16299
Ado	DonJohn	9618
Ado	DonPedro	26470
Ado	FriarFrancis	7036
Ado	Hero	10582
Ado	Leonato	28241
Ado	LeonatosBrother	4187
Ado	Margaret	5819
Ado	MESSENGERS.DONPEDRO.1	179
Ado	MESSENGERS.LEONATO.1	2388
Ado	MUSICIANS	553
Ado	Sexton	1277
Ado	Ursula	3971
Ado	Verges	1935
Ado	WATCHMEN.1	1117
Ado	WATCHMEN.2	245
Ado	WATCHMEN.Seacoal	1188
Ant	Agrippa	4399
Ant	Alexas	2235
Ant	Ambassador	1175
Ant	Antony	62746
Ant	ATTENDANTS.ANTONY	28
Ant	ATTENDANTS.CAESAR	106
Ant	Boy	394
Ant	Canidius	1782
Ant	CAPTAINS.0.1	267
Ant	CAPTAINS	183
Ant	Charmian	6941
Ant	Cleopatra	49274
Ant	Countryman	2598
Ant	Demetrius	403
Ant	Diomedes	1373
Ant	Dolabella	3135
Ant	Egyptian	440
Ant	Enobarbus	26781
Ant	Eros	3234
Ant	Gallus	249
Ant	GUARDS.0.1	362
Ant	GUARDS.0.2	143
Ant	GUARDS.0.3	128
Ant	GUARDS.CAESAR.0.1	955
Ant	GUARDS.CAESAR.0.2	90
Ant	GUARDS.CAESAR.1	222
Ant	GUARDS.Dercetus	1647
Ant	GUARDS	98
