,front,monophthong,central,unrounded,diphthong,tense,lax,back,rounded,linguaalveolar,linguapalatal,fricative,nonsonorant,glide,affricate,voiceless,liquid,nasal,labiodental,bilabial,stop,linguavelar,coronal,glottal,sonorant,nonsibilant,voiced,sibilant,noncoronal,linguadental,
Jn,KingPhilip,688,1514,551,1193,303,372,1142,275,321,1571,914,321,65,1872,893,500,198,414,275,316,209,1514,1704,87,1130,1980,1193,551,487,143,1022,1142,207,422,2580,688,303,372,1298,
R2,Surrey,37,74,21,55,18,16,58,16,19,75,45,19,3,84,36,22,12,15,16,13,4,74,80,3,50,94,55,21,24,4,40,58,12,18,116,37,18,16,54,
MND,Quince,407,935,298,683,170,266,669,230,252,922,465,252,25,1028,538,329,77,292,230,210,95,935,970,46,727,1147,683,298,259,139,608,669,113,229,1526,407,170,266,785,
TNK,QUEENS.1,200,485,174,360,108,116,369,111,125,484,310,125,8,609,291,166,65,143,111,115,85,485,571,27,385,671,360,174,156,63,323,369,75,143,851,200,108,116,423,
Lr,Edgar,1182,2662,902,2076,634,625,2037,578,586,2692,1719,586,76,3469,1674,997,358,911,578,572,358,2662,3034,230,2063,3525,2076,902,802,264,2007,2037,411,720,4812,1182,634,625,2498,
Shr,Merchant,166,378,134,288,73,111,267,78,90,328,210,90,6,414,198,130,55,120,78,68,37,378,326,38,261,430,288,134,85,46,245,267,29,88,587,166,73,111,349,
1H6,MESSENGERS.ENGLISH.X.2,21,44,9,30,12,11,33,14,14,44,21,14,5,58,32,14,4,18,14,13,2,44,55,4,36,65,30,9,16,6,29,33,9,4,90,21,12,11,39,
Ham,ATTENDANTS.1,58,106,33,84,7,36,70,15,22,107,74,22,7,145,64,33,7,28,15,20,15,106,120,11,61,117,84,33,17,11,89,70,18,38,168,58,7,36,86,
MND,Oberon,751,1545,548,1258,360,390,1155,246,287,1497,969,287,39,1882,874,538,195,468,246,300,202,1545,1690,101,1148,1966,1258,548,450,160,1064,1155,267,406,2624,751,360,390,1340,
Tim,SENATORS.3,8,18,7,13,5,6,12,3,5,15,17,5,0,26,9,2,4,4,3,5,2,18,22,3,10,22,13,7,8,0,14,12,3,7,29,8,5,6,14,
Ant,Menas,191,436,148,328,101,132,304,97,108,387,268,108,6,522,248,133,63,147,97,81,53,436,461,31,317,545,328,148,131,53,294,304,77,97,742,191,101,132,378,
3H6,Norfolk,7,23,8,16,7,5,18,8,7,25,18,7,2,29,9,6,6,4,8,3,2,23,23,3,17,29,16,8,8,3,17,18,3,6,40,7,7,5,23,
Tim,SENATORS.1,171,382,139,299,85,95,287,72,83,364,252,83,12,491,227,112,57,103,72,81,58,382,432,17,267,477,299,139,113,42,281,287,78,100,658,171,85,95,326,
Tim,FRIENDS.Lucullus,119,263,86,211,59,55,208,58,52,259,144,52,3,295,148,103,30,84,58,44,29,263,270,24,209,339,211,86,76,30,165,208,34,56,448,119,59,55,234,
Cym,ATTENDANTS.0.1,8,19,6,12,4,9,10,5,7,20,10,7,1,21,10,7,1,7,5,3,3,19,18,1,16,27,12,6,6,3,10,10,2,6,31,8,4,9,19,
MND,Demetrius,429,964,288,721,255,262,702,247,243,913,544,243,22,1095,529,331,112,276,247,216,104,964,1012,73,740,1198,721,288,295,114,637,702,141,218,1617,429,255,262,823,
Tro,Nestor,550,1139,394,912,257,268,871,195,227,1146,722,227,46,1404,636,401,122,341,195,219,166,1139,1226,94,843,1449,912,394,326,116,798,871,159,347,1900,550,257,268,1021,
Cym,Jupiter,74,167,60,129,42,38,129,33,38,170,97,38,4,203,102,54,19,51,33,47,21,167,181,16,130,206,129,60,59,17,127,129,9,53,280,74,42,38,152,
1H6,MasterGunner,62,125,43,100,34,35,90,20,25,126,89,25,6,168,73,50,18,34,20,24,19,125,137,8,86,164,100,43,25,11,90,90,25,38,216,62,34,35,117,
3H6,MESSENGERS.X.5,11,19,2,12,1,7,12,6,7,15,8,7,0,20,12,1,3,4,6,9,0,19,23,1,13,23,12,2,10,2,10,12,1,3,30,11,1,7,10,
Oth,Bianca,92,210,68,160,66,63,147,50,50,199,113,50,3,241,125,72,28,64,50,45,30,210,204,12,158,250,160,68,45,41,149,147,21,52,347,92,66,63,195,
