filename,bilabilal,linguaalveolar,linguadental,labiodental,linguavelar,glottal,linguapalatal
Jn_KingPhilip,13.8,52.34,6.9,6.6,6.97,2.9,10.53
R2_Surrey,11.2,55.98,8.96,8.96,2.99,2.24,9.71
MND_Quince,16.64,52.54,6.44,4.39,5.42,2.63,11.97
TNK_QUEENS.1,14.39,48.7,7.55,6.54,8.56,2.72,11.57
Lr_Edgar,16.47,48.67,7.43,6.48,6.48,4.16,10.34
Shr_Merchant,17.78,48.6,4.3,8.15,5.49,5.63,10.08
1H6_MESSENGERS.ENGLISH.X.2,19.15,46.81,9.58,4.26,2.13,4.26,13.83
Ham_ATTENDANTS.1,13.6,51.95,8.74,3.4,7.29,5.34,9.71
MND_Oberon,15.45,49.41,8.82,6.44,6.67,3.34,9.91
Tim_SENATORS.3,11.12,41.67,8.34,11.12,5.56,8.34,13.89
Ant_Menas,17.53,46.13,9.18,7.51,6.32,3.7,9.66
3H6_Norfolk,8.7,54.35,6.53,13.05,4.35,6.53,6.53
Tim_SENATORS.1,13.59,48.03,10.3,7.52,7.66,2.25,10.69
Tim_FRIENDS.Lucullus,16.67,51.39,6.75,5.96,5.76,4.77,8.74
Cym_ATTENDANTS.0.1,18.92,54.06,5.41,2.71,8.11,2.71,8.11
MND_Demetrius,15.05,49.76,7.69,6.11,5.67,3.98,11.78
Tro_Nestor,15.18,51.01,7.08,5.43,7.39,4.19,9.75
Cym_Jupiter,15.32,51.06,2.71,5.71,6.31,4.81,14.12
1H6_MasterGunner,13.39,49.61,9.85,7.09,7.49,3.15,9.45
3H6_MESSENGERS.X.5,12.13,45.46,3.04,9.1,0.0,3.04,27.28
Oth_Bianca,16.05,49.88,5.27,7.02,7.52,3.01,11.28
1H4_Westmoreland,15.69,50.69,7.59,5.18,6.21,2.76,11.9
2H4_Feeble,19.87,53.65,3.98,3.98,6.63,2.65,9.28
1H6_SERVANTS.1,0.0,83.34,8.34,0.0,8.34,0.0,0.0
2H4_Falstaff,16.41,49.13,6.82,6.22,7.25,3.81,10.4
2H4_Epilogue,20.07,50.5,3.95,6.09,5.43,1.65,12.34
Cym_Soothsayer,14.5,52.45,7.33,7.33,4.57,1.8,12.06
1H4_Sheriff,14.64,50.41,5.7,4.07,7.32,4.07,13.83
H5_SOLDIERS.FRENCH.LeFer,21.43,52.68,0.0,8.04,4.47,0.0,13.4
Jn_Melun,14.73,47.3,7.53,9.01,6.72,3.11,11.63
Err_Merchant1,14.29,49.56,4.92,7.59,7.15,2.68,13.84
1H6_MESSENGERS.ENGLISH.1,15.69,52.55,4.32,6.28,8.24,1.57,11.38
Shr_Biondello,15.81,52.03,6.05,5.37,6.47,4.2,10.11
Shr_HUNTSMEN.0.1,18.31,56.34,4.23,1.41,7.05,4.23,8.46
1H4_SERVANTS.HOTSPUR.1,16.67,50.0,0.0,3.34,3.34,10.0,16.67
Ham_Marcellus,15.18,52.0,6.12,5.77,6.95,3.42,10.59
R3_Clarence,15.57,50.28,6.67,6.91,6.71,4.1,9.79
Lr_Regan,15.26,51.11,5.6,6.63,5.14,4.46,11.84
LLL_Longaville,15.81,49.85,6.64,6.54,6.12,3.38,11.7
JC_COMMONERS.Carpenter,28.58,42.86,0.0,0.0,14.29,0.0,14.29
1H6_Lawyer,18.0,58.0,2.0,2.0,8.0,2.0,10.0
