Rank,Word,Frequency,TFIDF,DocFrequency
0,the,26051,76.85508029,36
1,and,23042,76.01042045,36
2,i,19845,74.98250389,36
3,to,17815,74.23987579,36
4,of,15574,73.31469552,36
5,you,13336,72.24707653,36
6,a,13335,72.24656047,36
7,my,11954,71.49419511,36
8,that,10331,70.49001873,36
9,in,10197,70.40017271,36
10,is,8892,69.45776292,36
11,not,8217,68.91446364,36
12,me,7452,68.24195157,36
13,it,7432,68.22345696,36
14,for,7232,68.03572467,36
15,with,6962,67.77387872,36
16,be,6657,67.46558709,36
17,your,6516,67.31825901,36
18,his,6374,67.16662819,36
19,this,6351,67.14175078,36
20,he,6061,66.82011099,36
21,but,5841,66.56567021,36
22,have,5744,66.45042568,36
23,as,5410,66.03815714,36
24,thou,5169,65.7245528,36
25,him,4944,65.41827981,36
26,will,4845,65.27907759,36
27,so,4777,65.18180616,36
28,what,4275,64.41772499,36
29,thy,3714,63.44962477,36
30,no,3632,63.29598082,36
31,her,3619,63.27130449,36
32,do,3616,63.26559737,36
33,by,3510,63.06084611,36
34,all,3492,63.02546383,36
35,shall,3472,62.98593564,36
36,if,3355,62.7500329,36
37,are,3307,62.65086328,36
38,we,3242,62.51425182,36
39,our,3015,62.01469505,36
40,thee,2982,61.93895618,36
41,on,2827,61.57161643,36
42,good,2768,61.42647129,36
43,now,2669,61.17582668,36
44,lord,2556,60.87811602,36
45,from,2474,60.65371809,36
46,o,2427,60.52172203,36
47,come,2423,60.51037054,36
48,sir,2416,60.49046027,36
49,at,2341,60.27344084,36
50,would,2251,60.0036478,36
51,or,2246,59.98834461,36
52,they,2241,59.97300732,36
53,more,2205,59.8615581,36
54,was,2160,59.71965949,36
55,which,2133,59.63309433,36
56,she,2118,59.58452787,36
57,am,2108,59.55195877,36
58,well,2075,59.44337383,36
59,how,2059,59.3901034,36
60,then,2041,59.32967711,36
61,let,2040,59.32630449,36
62,here,2019,59.25509487,36
63,their,1921,58.91267896,36
64,when,1889,58.79707579,36
65,them,1850,58.65350722,36
66,hath,1848,58.64606337,36
67,love,1839,58.61246604,36
68,than,1806,58.4878532,36
69,there,1746,58.25533653,36
70,man,1735,58.211843,36
71,i'll,1680,57.99015405,36
72,go,1679,57.9860565,36
73,an,1670,57.94906833,36
74,one,1666,57.93256511,36
75,like,1637,57.81171832,36
76,upon,1637,57.81171832,36
77,know,1618,57.73137643,36
78,say,1606,57.68014663,36
79,us,1587,57.59824466,36
80,may,1581,57.57217706,36
81,make,1568,57.51535622,36
82,did,1555,57.45806232,36
83,were,1515,57.27872086,36
84,should,1511,57.26052696,36
85,yet,1472,57.08056919,36
86,must,1454,56.99589751,36
87,had,1390,56.68611406,36
88,why,1390,56.68611406,36
89,see,1378,56.62644456,36
90,tis,1342,56.4442676,36
91,such,1337,56.41857948,36
92,out,1292,56.1829667,36
93,give,1282,56.12949449,36
94,these,1276,56.09721058,36
95,some,1259,56.0049084,36
96,king,1242,55.91135137,34
97,too,1204,55.69750761,36
98,where,1180,55.55894241,36
99,take,1170,55.50037321,36
