feature,protag,antag,fool
nonsonorant,0.008286553334780998,-0.09973618304019981,-0.2198909359379773
linguavelar,0.0016009397046460123,-0.02384304646047262,0.23516825343653952
bilabial,0.10278516658819771,0.06126333995512232,0.3162870961897584
labiodental,0.1821398494942639,0.18203215582470744,0.12621267888656285
noncoronal,0.018434197086069797,0.1392662351140326,0.3679821679545389
tense,-0.18559050913867098,-0.154988821361664,-0.12154973497755216
voiced,0.09539484792827913,-0.06736573204240665,-0.0031628261678529105
coronal,-0.01843419708606716,-0.13926623511402997,-0.3679821679545363
linguaalveolar,-0.0943724601868708,0.06747467053344772,-0.3586808441041852
fricative,-0.010157005061109215,-0.17779814712546646,-0.05499843092587033
glottal,-0.4297175685397596,-0.21390575261435074,-0.06336542768395023
stop,0.027948359927500974,0.06054946876515199,0.0006068880290510188
back,-0.08044484169427364,0.06183751444124406,0.01677060063685566
glide,-0.020669043843722076,0.016158693304835586,0.07667304424952323
monophthong,-0.2823550671607333,0.022610786967168582,-0.10003097142068886
nonsibilant,0.10109873441628313,0.07455500654442306,0.3753495354847627
voiceless,-0.09539484792828175,0.06736573204240402,0.0031628261678502884
sibilant,-0.10109873441628112,-0.07455500654442103,-0.3753495354847668
linguapalatal,-0.04938371401416883,0.03399510533035843,-0.26243412191060755
liquid,-0.15943448297653295,-0.10146481915597906,-0.33190297739599617
sonorant,-0.008286553334778098,0.09973618304020268,0.21989093593797726
lax,-0.08395358661635671,0.1433131453026892,0.015130488563491324
diphthong,0.2823550671607344,-0.022610786967168582,0.10003097142068886
affricate,-0.021916392446561638,0.12802372028685705,-0.5612534347080225
linguadental,0.30541018080611465,-0.16304043619823494,0.2646753856032806
central,-0.1251641057561096,0.018484601393272432,-0.18457169202408638
nasal,0.15520874764063655,0.20303976352760214,0.5141505337874434
rounded,-0.20972957823301414,0.02442267126269799,0.08235345538738174
front,-0.05560920749165863,-0.04820691865504586,0.09079549610060729
unrounded,-0.07271548090412817,-0.0001471784854008162,-0.1483750591732545
