character,gender,role,genre
Mac_SOLDIERS.MALCOLM,m,other,tragedy
MND_Titania,f,other,comedy
Cym_SOLDIERS.ROMAN.0.1,m,other,tragedy
H5_Dauphin,m,antag,history
Jn_PrinceHenry,m,other,history
WT_Camillo,m,other,comedy
Shr_Petruchio,m,protag,comedy
3H6_Somerville,m,other,history
Cor_WATCHMEN.1,m,other,tragedy
Cor_WATCHMEN.2,m,other,tragedy
Err_Merchant1,m,other,comedy
R3_Clarence,m,other,history
Err_Merchant2,m,other,comedy
2H6_CITIZENS,m,other,history
H8_Chamberlain,m,other,history
MV_Salarino,m,other,comedy
Cor_LORDS.VOLSCIAN.0.1,m,other,tragedy
Cor_LORDS.VOLSCIAN.0.2,m,other,tragedy
Cor_LORDS.VOLSCIAN.0.3,m,other,tragedy
MND_FAIRIES.TITANIA.Peaseblossom,m,other,comedy
2H4_Peto,m,other,history
Cym_Frenchman,m,other,tragedy
Mac_MESSENGERS.2,m,other,tragedy
Mac_MESSENGERS.3,m,other,tragedy
Mac_MESSENGERS.1,m,other,tragedy
2H6_MayorOfStAlbans,m,other,history
Tro_Calchas,m,other,tragedy
JC_Caesar,m,other,tragedy
1H4_Sheriff,m,other,history
AWW_GENTLEMEN.2,m,other,comedy
AWW_GENTLEMEN.3,m,other,comedy
AWW_GENTLEMEN.1,m,other,comedy
2H6_GENTLEMEN.1,m,other,history
LLL_Dull,m,other,comedy
2H6_GENTLEMEN.2,m,other,history
MND_Oberon,m,other,comedy
3H6_Son,m,other,history
Tmp_Francisco,m,other,comedy
H8_Griffith,m,other,history
3H6_Clarence,m,other,history
2H4_MistressQuickly,f,other,history
Tro_Paris,m,other,tragedy
1H4_TRAVELERS.GENTLEMEN.0.1,m,other,history
H5_HenryV,m,protag,history
Tmp_SAILORS,m,other,comedy
Ant_LADIES,m,other,tragedy
Cor_Cominius,m,other,tragedy
Cor_Volumnia,f,other,tragedy
Per_LORDS.TYRE.0.2,m,other,comedy
Per_LORDS.TYRE.0.3,m,other,comedy
Per_LORDS.TYRE.0.1,m,other,comedy
Ham_GravediggersCompanion,m,other,tragedy
MND_Snug,m,other,comedy
Cym_ATTENDANTS.1,m,other,tragedy
Cym_ATTENDANTS.2,m,other,tragedy
2H6_DuchessOfGloucester,f,other,history
MV_Shylock,m,antag,comedy
Ham_PLAYERS.0.1,m,other,tragedy
1H6_Talbot,m,other,history
Ado_Balthasar,m,other,comedy
Cor_TRIBUNES.Sicinius,m,other,tragedy
Lr_Cornwall,m,other,tragedy
2H6_CITIZENS.STALBANS.0.1,m,other,history
Ant_MESSENGERS.X.1,m,other,tragedy
Ant_MESSENGERS.X.2,m,other,tragedy
Ant_MESSENGERS.X.3,m,other,tragedy
Ant_MESSENGERS.X.4,m,other,tragedy
Ant_MESSENGERS.X.5,m,other,tragedy
Per_LORDS.TYRE.Escanes,m,other,comedy
JC_SOLDIERS.BRUTUS.Titinius,m,other,tragedy
Ham_Cornelius,m,other,tragedy
JC_Soothsayer,m,other,tragedy
