phoneme,protag,antag,fool
AA,0.1175229956247133,-0.00600400784540961,0.22346274151522302
Y,-0.025427287954252073,0.08681991167148043,-0.025581353496218498
DH,0.3196312702547952,-0.10895005988983421,0.19440018309811624
NG,-0.10592495595170556,0.0516078779993184,0.047322874623870075
UW,0.0005914463980426661,0.08469057689960446,0.05306449614797884
CH,0.0890760304116343,0.10838388407681117,-0.4007865922072521
OW,-0.1271823791906399,-0.14644479832488133,0.08053593536188858
W,0.00017523135880556596,-0.06442384569161505,0.04998384313861341
K,0.06795518929595602,-0.071490053258536,-0.03442465218929027
SH,0.11217182718355889,0.22003120011419247,0.17962548764390848
D,-0.17552347946834443,-0.14547206248349184,-0.5763925887011613
EY,-0.08539452756808368,-0.15253557060391212,0.030605998790560023
P,-0.017296412068922608,0.03567329902224633,-0.36562345317709455
TH,0.000866511148664497,-0.2129393766916701,0.018634380979879694
M,0.14168561591676712,0.1024195690994625,0.3058227939762699
EH,0.214231231894538,0.08679783441827517,-0.13758146232695878
JH,-0.13605286156492988,0.07518931543416967,-0.48304042580164247
V,0.19573288072130143,0.27296124511504666,-0.13750842154202267
AW,0.33286121574501104,-0.06377679311980675,-0.04459558628193323
ER,-0.12828290458092978,-0.0632519149709502,0.3045441023455297
UH,-0.031499030759388265,0.08460900988359356,0.4421884213915999
HH,-0.4314124811708542,-0.2153585527925435,-0.11465462806995771
OY,-0.029803996398371304,-0.023874615644313552,-0.33914760292859714
ZH,0.017499842164309318,0.005668440719705598,-0.14708961160763015
AH,-0.05224768424132419,0.06711704160352572,-0.13154260553138905
IY,-0.14973489699110204,-0.23143387457131062,-0.20487798801706458
AE,0.09271679732050297,0.07183590095898962,1.2370334182756166
G,0.006723514810115595,-0.008740454158598289,0.3746487632914642
T,0.15982577175983326,0.24442779215786253,0.23252869076455113
F,0.05499142731187845,-0.019452609746821246,0.17890998289634116
IH,-0.13508393731147333,0.04122907015342004,-0.05575621188983927
AO,-0.2333179365641056,-0.013350161481388222,-0.1489804022356856
L,-0.12949962518804425,-0.019982192824213204,-0.07817168741684631
N,0.11142425074828576,0.13784103646664106,0.12013582443997863
AY,0.29625884453643364,0.160609104694395,0.31669055673894436
S,-0.1350245908324155,0.025546962232800736,-0.432797671099335
Z,-0.06782480262294191,-0.2711234906661992,-0.3419924925723986
B,-0.007777938920619241,0.0052512565802801375,0.12960934388342554
R,-0.10051878312288322,-0.12329723112437228,-0.5293620914490466
