feature,mean,stdev,variance
liquid,0.14512758175388915,0.01453591634652095,0.00021129286403305495
affricate,0.015527387981051745,0.005497277497818741,3.0220059888024283e-05
fricative,0.30355719175822515,0.020659271226183964,0.0004268054875970326
central,0.27669427067137936,0.029661182106788066,0.0008797857239720444
tense,0.20866243020733774,0.02449338006288819,0.0005999256669050887
stop,0.294069786596664,0.017496794044365077,0.00030613780183092924
bilabial,0.15594240993441932,0.015652086191782332,0.0002449878021549831
sibilant,0.13599930806216778,0.013688209802698933,0.00018736708760270316
nasal,0.1821685686651739,0.015637872663875747,0.0002445430614515923
lax,0.611010839579126,0.03045767147143929,0.0009276697514621267
front,0.37418898923880856,0.028427307078386962,0.0008081117877289095
voiced,0.6484972531543924,0.0211701110171894,0.000448173600480124
noncoronal,0.4563987932228302,0.021036160065822377,0.00044252003031490007
linguadental,0.0655499084172066,0.013069865545675213,0.00017082138538202806
linguavelar,0.06622275877621563,0.012141255447063851,0.00014741008383085762
glide,0.05954948324499605,0.012980678291217622,0.00016849800890008846
monophthong,0.8196732697864638,0.02515545305360189,0.0006327968183319687
sonorant,0.3868456336640591,0.01915028814576257,0.0003667335360657344
rounded,0.18563038838247828,0.023469908597829214,0.0005508366095904577
linguapalatal,0.11085148040390884,0.015478342078709309,0.00023957907350554322
back,0.16879000987627588,0.02249285655217897,0.0005059285958769004
coronal,0.5436012067771697,0.021036160065822377,0.00044252003031490007
nonsibilant,0.8640006919378322,0.013688209802698935,0.00018736708760270322
linguaalveolar,0.49942546718939884,0.021594075718648097,0.0004663041061427074
voiceless,0.3515027468456076,0.0211701110171894,0.0004481736004801241
labiodental,0.06297524577471045,0.009640709481063435,9.294327929826641e-05
diphthong,0.18032673021353618,0.02515545305360189,0.0006327968183319687
unrounded,0.6340428814039856,0.029985851402030163,0.0008991512843046342
glottal,0.0390327295041403,0.010643276754503222,0.00011327934007294864
nonsonorant,0.6131543663359409,0.019150288145762567,0.00036673353606573434
