phoneme,mean,stdev,variance
AA,0.021696545701026436,0.004910117790896317,2.4109256720476524e-05
AE,0.02547203453872661,0.005606134435541366,3.14287433093627e-05
AH,0.0712717348486717,0.009907501462100395,9.815858522152148e-05
AO,0.020675460852700896,0.004809411844747077,2.3130442292393486e-05
AW,0.011991144623994046,0.00421912032701937,1.7800976333868037e-05
AY,0.022773972485956685,0.008330837058532112,6.940284609581197e-05
B,0.021254438696258118,0.004897279528122315,2.3983346776565925e-05
CH,0.002581913059528689,0.0015812073077115787,2.500216549960499e-06
D,0.04617050783956552,0.007628123356848712,5.8188265947300856e-05
DH,0.0381827607285625,0.008202925889618958,6.728799315058097e-05
EH,0.023123805994317674,0.004795763726492905,2.2999349720345115e-05
ER,0.015674544309875842,0.004768406839323575,2.2737703785307853e-05
EY,0.0076437342984568375,0.0029304747792574253,8.587682431863854e-06
F,0.022148073632849558,0.004569049867094529,2.0876216687996537e-05
G,0.009668670993845349,0.003367623852767766,1.134089041373041e-05
HH,0.0215853768312154,0.00664824933623277,4.419921923671947e-05
IH,0.07130306049340329,0.009397467716852242,8.83123994892801e-05
IY,0.03447686169550011,0.006844831505677601,4.6851718341116695e-05
JH,0.003000081651598188,0.002024634603225924,4.0991452765797955e-06
K,0.023975944009614263,0.005402813625386213,2.9190395070658913e-05
L,0.04152114637825515,0.006441742124950888,4.149604160436677e-05
M,0.03835761067694242,0.008151806033788875,6.645194161251671e-05
N,0.06492702111661118,0.006876085449539449,4.728055110936812e-05
NG,0.006384682700711622,0.0037753329907793255,1.4253139191266766e-05
OW,0.020271414425138495,0.005024926084963978,2.5249882159351415e-05
OY,0.00047212814601865484,0.000736078046697641,5.418108908302146e-07
P,0.018124078732474836,0.004224618127470669,1.7847398322953777e-05
R,0.043909893040944226,0.007266473615574828,5.2801638805845106e-05
S,0.04910457554996134,0.0070126746545642995,4.917760581076852e-05
SH,0.008069283610133161,0.0030784043197455116,9.476573155827826e-06
T,0.07030246558541117,0.008197608281577586,6.720078153818944e-05
TH,0.005946828813143338,0.0025568523079436646,6.5374937246368445e-06
UH,0.008781812431357753,0.0030316146270985716,9.190687247238012e-06
UW,0.02312043225208021,0.005762997276070284,3.3212137603993514e-05
V,0.01969441154380206,0.004341664671602954,1.885005212064519e-05
W,0.024090498801035275,0.005620619803288674,3.1591366973120806e-05
Y,0.01370904216432634,0.006449172907746544,4.159183119401202e-05
Z,0.027459842723930084,0.005404546007659547,2.920911754890875e-05
ZH,0.0010821640220549794,0.0010096674525597814,1.0194283647585584e-06
