phoneme,mean,stdev,variance
AA,1.3638221317,1.02799627726,1.05677634606
AW,0.682301425662,0.826610951122,0.683285664516
DH,2.36200950441,1.2335914483,1.52174786132
AY,2.0132586558,1.44120947623,2.07708475438
HH,1.90917175832,1.43522120643,2.05985991138
B,1.35524100475,0.971794738208,0.944385013209
JH,0.335098438561,0.587887944721,0.345612235548
AE,2.00952477936,1.41158807311,1.99258088814
D,3.73138492872,1.88941588173,3.56989237415
NG,0.579558723693,0.622143588585,0.387062644817
TH,0.448567549219,0.623795076315,0.389120297234
IY,2.69983027834,1.62282560576,2.63356294672
CH,0.370224032587,0.448592474221,0.201235207927
ZH,0.025967413442,0.129844300667,0.0168595424157
EH,2.30112016293,1.5743871849,2.47869500797
G,0.745736591989,0.870214954157,0.757274066439
F,1.42088934148,0.931419314548,0.867541939513
AH,6.17577053632,2.21569327874,4.90929670546
K,1.85838424983,1.416984166,2.00784412671
M,2.86921928038,1.76323808978,3.10900856126
L,3.33291921249,1.79777837828,3.23200709741
AO,1.77305498982,1.4884642592,2.21552585091
N,5.01739307536,1.98633719563,3.94553545476
IH,3.86279022403,1.63823362097,2.68380939686
S,3.62594704684,1.91843805067,3.68040455426
R,3.98744059742,1.86437902207,3.47590913794
EY,1.41266802444,2.26856325059,5.14637922192
T,4.83376103191,2.04106605841,4.16595065481
W,1.87749490835,1.39103722059,1.93498454906
V,1.31128988459,0.904187100842,0.817554313328
Y,0.969680923286,1.02121881772,1.04288787366
Z,2.20046843177,1.3642248697,1.8611094951
ER,1.93712152071,1.44944282662,2.10088450764
P,1.23236252546,1.16594253555,1.3594219962
UW,1.6038628649,1.02953309657,1.05993839694
SH,0.48822131704,0.511961103107,0.262104171094
UH,0.383951120163,0.530577134294,0.281512095435
OY,0.080027155465,0.203755166168,0.0415161677403
OW,1.22919891378,1.26080914935,1.58963971109
