feature,stdev,variance
monophthong,8.18679463405,67.0236063801
rounded,7.5302852473,56.7051959056
linguadental,2.91011125748,8.46874753092
fricative,6.82157259603,46.5338526829
bilabial,4.93769486276,24.3808305577
linguapalatal,4.85956752625,23.6153965422
glottal,3.12965384898,9.79473321444
voiced,7.78971834011,60.6797118183
affricate,1.49024351731,2.22082574087
glide,3.7049671952,13.7267819175
voiceless,7.37400900622,54.3760088238
sibilant,4.85480339521,23.5691160061
nonsibilant,6.19711658492,38.4042539671
noncoronal,6.53402188056,42.6934419356
linguaalveolar,7.20357332941,51.8914687122
nonsonorant,7.73568699427,59.8408532733
stop,6.21081201142,38.5741858412
nasal,6.41598460539,41.1648584566
labiodental,2.88145088096,8.30275917936
back,7.011256347,49.1577155634
linguavelar,3.88592753545,15.1004328108
coronal,6.67535964931,44.5604264476
lax,9.22312766201,85.0660838697
sonorant,7.46300194743,55.6963980674
front,8.9328026375,79.7949629606
unrounded,9.66471603716,93.4067360789
central,8.24836739007,68.0355646015
liquid,5.31104323098,28.2071802013
diphthong,7.91870449686,62.7058809085
tense,7.92997068715,62.884435099
