phoneme,mean,stdev,variance
AA,0.0134599413977,0.00319625209127,1.0216027431e-05
IY,0.0264017735915,0.00515916192802,2.66169517995e-05
V,0.01426333628,0.00319547079939,1.02110336298e-05
B,0.014240559135,0.00329958795233,1.08872806551e-05
AE,0.0204892168077,0.00416709420636,1.73646741247e-05
D,0.0359406410862,0.00596609785986,3.55943236734e-05
DH,0.0260064152379,0.00575594973681,3.31309573727e-05
F,0.0152463682861,0.00324736009753,1.0545347603e-05
AH,0.0631418263738,0.00825499925201,6.81450126506e-05
K,0.0181005407196,0.00398464279618,1.58773782131e-05
SH,0.00557428075238,0.00224941915178,5.05988652038e-06
M,0.0276771401203,0.00560250171655,3.13880254839e-05
L,0.0310221824991,0.00488041364046,2.3818437302e-05
AO,0.0155015059596,0.00350481758902,1.22837463323e-05
N,0.0515803476136,0.0054217046366,2.93948811666e-05
IH,0.0406444442218,0.00602105180218,3.62530648045e-05
HH,0.0182811443759,0.00498424043654,2.48426527292e-05
CH,0.00417029318403,0.00182653742684,3.33623897165e-06
EY,0.0127518977108,0.00302683679732,9.16174099764e-06
T,0.0502768543876,0.0059098824433,3.49267104936e-05
AW,0.00705647099356,0.00292840926285,8.57558081075e-06
TH,0.00470665156132,0.00184416373102,3.40093986681e-06
AY,0.0208854068878,0.00617178571585,3.80909389224e-05
ZH,0.000244631440935,0.000364576280254,1.32915864124e-07
Z,0.0219256430115,0.00434309504584,1.88624745772e-05
EH,0.0227915194136,0.00406681367447,1.65389734628e-05
G,0.00688665061127,0.00231706574602,5.36879367139e-06
P,0.0123367815256,0.00305661774829,9.34291205914e-06
UW,0.0167172427332,0.00411300057735,1.69167737493e-05
S,0.0360107651793,0.005178725596,2.68191987987e-05
NG,0.00604303359815,0.00284634901359,8.10170270717e-06
W,0.018746529898,0.00412409090221,1.70081257697e-05
R,0.0370283790982,0.00558446084524,3.1186202932e-05
UH,0.00408683646285,0.0018125753739,3.28542948606e-06
OY,0.00083325726071,0.000807218086619,6.51601039364e-07
OW,0.011624999875,0.00325477024426,1.05935293429e-05
JH,0.00311655696906,0.00167057952617,2.79083595326e-06
ER,0.0184480816884,0.00425283210165,1.80865808848e-05
Y,0.00909575871849,0.00440692620786,1.94209986015e-05
