filename,stop,affricate,fricative,liquid,glide,nasal
1H4_Archbishop,30.0,0.99,30.2,14.32,5.1,19.42
1H4_Bardolph,27.35,1.88,27.35,14.75,8.85,19.84
1H4_Bedford,32.54,1.59,30.16,15.08,7.15,13.5
1H4_Blunt,31.81,2.56,30.28,13.78,4.94,16.67
1H4_Chamberlain,29.46,0.73,28.01,16.73,6.19,18.91
1H4_DRAWERS.Francis,32.12,0.92,22.02,22.02,4.59,18.35
1H4_Douglas,30.05,0.94,30.52,15.34,5.33,17.85
1H4_Falstaff,30.74,1.2,29.45,14.47,5.1,19.07
1H4_Gadshill,29.0,1.65,29.99,13.51,4.45,21.42
1H4_Glendower,28.61,1.13,29.22,14.7,6.57,19.8
1H4_HenryIV,28.94,2.03,30.65,15.04,5.23,18.14
1H4_HenryV,29.48,1.48,30.34,15.44,5.51,17.78
1H4_Hotspur,30.19,1.43,29.26,14.4,5.27,19.48
1H4_LadyPercy,27.78,1.53,31.34,14.4,6.12,18.86
1H4_MESSENGERS.1,15.39,0.0,23.08,46.16,7.7,7.7
1H4_MESSENGERS.2,35.3,0.0,17.65,23.53,0.0,23.53
1H4_MESSENGERS.X,25.26,2.03,37.38,17.18,2.03,16.17
1H4_MistressQuickly,24.89,2.16,31.96,12.75,6.3,21.97
1H4_Mortimer,29.85,1.97,29.2,13.08,6.0,19.94
1H4_Northumberland,30.94,1.11,29.29,14.65,5.81,18.24
1H4_Ostler,0,0,0,0,0,0
1H4_Peto,40.13,0.64,24.21,9.56,5.74,19.75
1H4_Poins,25.97,2.44,33.18,16.78,6.57,15.09
1H4_SERVANTS.HOTSPUR.1,23.34,0.0,23.34,26.67,3.34,23.34
1H4_Sheriff,28.46,0.82,22.77,21.96,3.26,22.77
1H4_SirMichael,32.41,0.93,19.45,24.08,4.63,18.52
1H4_TRAVELERS.CARRIERS,14.29,14.29,57.15,14.29,0.0,0.0
1H4_TRAVELERS.CARRIERS.1,35.48,1.51,29.82,10.19,3.78,19.25
1H4_TRAVELERS.CARRIERS.2,28.58,3.58,26.99,15.88,4.77,20.24
1H4_TRAVELERS.CARRIERS.X,50.0,0.0,50.0,0.0,0.0,0.0
1H4_TRAVELERS.GENTLEMEN,20.0,5.0,40.0,10.0,10.0,15.0
1H4_TRAVELERS.GENTLEMEN.0.1,24.53,1.89,33.97,16.99,9.44,13.21
1H4_Vernon,29.04,2.05,28.28,16.03,5.6,19.04
1H4_Vintner,25.93,3.71,27.78,20.38,5.56,16.67
1H4_Westmoreland,28.63,2.94,29.32,15.18,6.21,17.76
1H4_Worcester,30.78,1.65,29.45,13.98,6.22,17.96
1H6_Alanson,28.29,1.99,31.26,18.53,4.11,15.85
1H6_Basset,28.21,2.06,30.0,16.16,5.13,18.47
1H6_Bastard,27.82,2.3,34.72,14.49,5.75,14.95
1H6_Bedford,26.48,1.72,32.6,17.49,4.74,17.0
1H6_Boy,25.0,1.93,28.85,11.54,7.7,25.0
1H6_Burgundy,29.63,1.06,29.48,15.79,5.42,18.65
1H6_CardinalBeaufort,30.69,1.96,30.41,15.49,4.61,16.88
1H6_Charles,28.13,1.31,32.29,15.37,4.91,18.02
1H6_Countess,27.28,1.62,35.2,13.93,3.82,18.19
1H6_Exeter,27.95,1.78,31.18,16.06,6.16,16.9
1H6_Fastolf,28.58,0.0,31.43,20.0,6.67,13.34
1H6_Gargrave,21.63,0.0,32.44,21.63,2.71,21.63
1H6_General,28.51,1.48,32.44,17.7,3.2,16.71
1H6_Glansdale,33.34,6.67,26.67,20.0,6.67,6.67
1H6_Gloucester,30.55,2.16,30.17,15.9,4.62,16.63
1H6_HenryVI,29.84,1.76,28.02,16.81,6.2,17.41
1H6_JAILERS.0.1,25.81,3.23,17.75,17.75,9.68,25.81
1H6_JohnTalbot,28.71,0.81,28.31,16.72,7.01,18.47
1H6_Lawyer,28.01,0.0,22.0,18.0,10.0,22.0
1H6_Legate,27.28,0.0,9.1,27.28,18.19,18.19
1H6_Lucy,29.9,1.41,30.29,18.58,5.08,14.76
1H6_MESSENGERS.ENGLISH.1,30.59,1.57,26.28,15.69,9.42,16.48
1H6_MESSENGERS.ENGLISH.2,33.67,1.99,36.64,12.88,2.98,11.89
1H6_MESSENGERS.ENGLISH.3,29.94,1.91,30.75,16.47,4.49,16.47
1H6_MESSENGERS.ENGLISH.X.1,24.6,6.56,29.51,18.04,4.92,16.4
1H6_MESSENGERS.ENGLISH.X.2,34.05,5.32,22.35,17.03,6.39,14.9
1H6_MESSENGERS.FRENCH.1,30.19,2.36,27.84,23.12,4.25,12.27
1H6_MasterGunner,28.75,2.37,35.04,9.85,4.34,19.69
1H6_Mayor,34.24,1.21,28.53,16.52,3.61,15.92
1H6_Mortimer,29.16,1.46,30.39,14.29,4.86,19.87
1H6_OFFICERS.0.1,28.72,1.99,21.79,16.84,6.94,23.77
1H6_Porter,20.0,0.0,0.0,20.0,20.0,40.0
1H6_Pucelle,30.32,2.07,29.51,15.33,5.46,17.34
1H6_QueenMargaret,30.11,1.08,28.82,12.48,7.53,20.0
1H6_Reignier,29.09,1.58,28.53,15.34,5.75,19.73
1H6_SERVANTS.1,33.34,8.34,25.0,8.34,0.0,25.0
1H6_SERVANTS.2,20.0,0.0,20.0,20.0,20.0,20.0
1H6_SERVANTS.3,26.67,0.0,33.34,13.34,13.34,13.34
1H6_SERVANTS.GLOUCESTER,43.59,0.0,17.95,15.39,7.7,15.39
1H6_SERVANTS.GLOUCESTER.0.1,39.03,0.0,21.96,19.52,8.54,10.98
1H6_SERVANTS.GLOUCESTER.0.2,34.0,2.67,23.34,16.0,7.34,16.67
1H6_SERVANTS.TALBOT.1,17.65,0.0,11.77,41.18,11.77,17.65
1H6_SERVANTS.WINCHESTER.0.1,26.67,2.23,28.89,17.78,11.12,13.34
1H6_SOLDIERS.ENGLISH.0.1,35.72,0.0,0.0,28.58,0.0,35.72
1H6_SOLDIERS.ENGLISH.1,27.87,0.0,36.07,14.76,6.56,14.76
1H6_SOLDIERS.ENGLISH.Captain,23.26,6.98,23.26,23.26,11.63,11.63
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,6.9,0.0,48.28,24.14,10.35,10.35
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,26.32,0.0,28.95,23.69,5.27,15.79
1H6_SOLDIERS.FRENCH.Scout,32.92,2.54,25.32,11.4,5.07,22.79
1H6_SOLDIERS.FRENCH.Sergeant,27.87,4.92,27.87,19.68,4.92,14.76
1H6_Salisbury,30.56,2.32,25.93,15.28,7.88,18.06
1H6_Shepherd,31.66,2.08,31.66,13.02,4.15,17.46
1H6_Somerset,30.71,1.58,27.86,16.15,6.7,17.03
1H6_Suffolk,29.81,1.59,29.04,14.56,5.72,19.31
1H6_Talbot,30.31,1.87,30.04,15.5,4.97,17.34
1H6_Vernon,28.29,0.67,29.4,15.15,6.69,19.83
1H6_WARDERS.1,22.5,0.0,35.0,15.0,12.5,15.0
1H6_WARDERS.2,40.0,0.0,10.0,10.0,10.0,30.0
1H6_WATCHMEN.1,29.86,2.99,20.9,19.41,5.98,20.9
1H6_Warwick,33.55,2.31,27.33,16.15,6.39,14.29
1H6_Watchman,35.3,0.0,11.77,23.53,5.89,23.53
1H6_Woodville,27.06,1.18,32.95,11.77,4.71,22.36
1H6_York,28.97,1.88,30.06,15.3,5.56,18.26
2H4_Archbishop,29.67,1.44,30.16,15.15,4.86,18.75
2H4_BEADLES.0.1,29.24,2.31,29.24,13.08,7.7,18.47
2H4_Bardolph,34.31,2.38,24.28,13.51,7.85,17.71
2H4_Bedford,29.53,1.05,31.12,14.77,6.65,16.92
2H4_Bullcalf,30.5,1.5,26.5,18.0,3.0,20.5
2H4_ChiefJustice,29.34,1.87,27.24,14.32,9.01,18.24
2H4_Chorus,28.62,1.63,30.74,15.13,4.88,19.03
2H4_Clarence,27.72,2.41,29.82,15.97,6.33,17.78
2H4_Colevile,25.5,1.97,29.42,14.71,5.89,22.55
2H4_DRAWERS.1,31.25,1.57,32.82,14.07,4.69,15.63
2H4_DRAWERS.Francis,28.16,1.95,33.01,10.68,5.83,20.39
2H4_DRAWERS.Will,33.34,3.34,23.34,13.34,5.0,21.67
2H4_DRAWERS.X,35.3,5.89,17.65,5.89,17.65,17.65
2H4_Davy,27.44,0.98,32.3,12.65,9.34,17.32
2H4_DollTearsheet,29.05,2.43,27.43,14.66,8.91,17.54
2H4_Epilogue,30.6,2.64,22.04,13.0,9.71,22.04
2H4_Falstaff,29.95,1.45,29.83,14.2,5.94,18.65
2H4_Feeble,31.79,0.67,25.83,12.59,8.61,20.53
2H4_GROOMS.1,27.78,5.56,27.78,22.23,0.0,16.67
2H4_GROOMS.2,37.5,0.0,37.5,6.25,6.25,12.5
2H4_Gloucester,26.25,2.92,29.59,15.42,5.42,20.42
2H4_Harcourt,29.84,1.62,30.65,15.33,5.65,16.94
2H4_Hastings,29.09,1.99,33.07,14.37,4.09,17.41
2H4_HenryIV,29.53,1.52,31.66,14.0,5.36,17.97
2H4_HenryV,29.87,1.52,29.8,14.3,6.01,18.53
2H4_LadyNorthumberland,31.89,0.0,26.09,17.4,10.15,14.5
2H4_LadyPercy,29.63,0.94,31.64,13.41,5.77,18.64
2H4_LordBardolph,28.99,2.4,30.46,13.88,5.94,18.36
2H4_MESSENGERS.1,24.62,3.08,32.31,16.93,1.54,21.54
2H4_MESSENGERS.Gower,32.76,2.59,24.14,19.83,2.59,18.11
2H4_MistressQuickly,30.4,1.04,26.96,14.58,7.21,19.84
2H4_Morton,29.0,1.22,31.66,15.91,5.79,16.44
2H4_Mouldy,34.08,0.56,23.47,14.53,6.15,21.23
