filename,fricative,affricate,glide,nasal,liquid,stop,glottal,linguaalveolar,linguapalatal,labiodental,bilabial,linguavelar,linguadental,voiced,voiceless,sibilant,nonsibilant,sonorant,nonsonorant,coronal,noncoronal,monophthong,diphthong,central,front,back,tense,lax,rounded,unrounded
1H4_Archbishop,146,2,25,90,51,134,12,216,44,29,80,29,38,283,165,67,381,166,282,248,200,207,17,78,90,39,46,161,43,164
1H4_Bardolph,93,6,31,69,47,96,2,178,45,21,61,16,19,235,107,51,291,147,195,184,158,165,26,48,76,41,39,126,35,130
1H4_Bedford,33,0,8,15,17,38,3,55,12,7,15,11,8,72,39,15,96,40,71,68,43,53,8,7,32,14,15,38,11,42
1H4_Blunt,162,7,27,84,73,179,14,277,61,32,69,37,42,328,204,74,458,184,348,315,217,250,28,80,123,47,48,202,42,208
1H4_Chamberlain,71,0,18,49,43,83,9,122,28,19,40,23,23,171,93,20,244,110,154,140,124,120,21,35,61,24,21,99,23,97
1H4_DRAWERS.Francis,24,0,5,17,22,28,3,54,13,3,16,5,2,62,34,16,80,44,52,59,37,43,8,14,18,11,16,27,15,28
1H4_Douglas,184,2,31,102,78,171,19,265,52,36,83,48,65,380,188,64,504,211,357,325,243,247,53,82,130,35,42,205,28,219
1H4_Falstaff,2612,72,448,1617,1195,2734,251,4135,856,687,1429,620,700,5713,2965,974,7704,3260,5418,4587,4091,4145,795,1248,2070,827,869,3276,742,3403
1H4_Gadshill,177,3,26,111,66,169,14,257,55,34,86,53,53,351,201,76,476,203,349,297,255,258,38,83,130,45,60,198,48,210
1H4_Glendower,321,8,72,191,145,310,30,501,132,72,166,74,72,692,355,147,900,408,639,563,484,501,53,156,245,100,119,382,95,406
1H4_HenryIV,1498,38,246,833,683,1444,152,2522,490,326,703,242,307,3083,1659,713,4029,1762,2980,2673,2069,2102,235,681,1035,386,486,1616,381,1721
1H4_HenryV,2292,62,401,1254,1056,2266,187,3593,738,539,1165,480,629,4763,2568,937,6394,2711,4620,4093,3238,3352,580,1069,1682,601,663,2689,565,2787
1H4_Hotspur,2271,71,395,1397,1032,2325,275,3742,732,505,1188,542,507,4844,2647,984,6507,2824,4667,4069,3422,3465,485,1110,1701,654,737,2728,621,2844
1H4_LadyPercy,226,6,43,123,105,209,19,364,77,50,103,38,61,455,257,96,616,271,441,401,311,301,55,89,147,65,70,231,53,248
1H4_MESSENGERS.1,3,0,1,1,6,1,1,4,5,1,1,0,0,9,3,1,11,8,4,8,4,6,1,1,2,3,3,3,3,3
1H4_MESSENGERS.2,2,0,0,4,4,5,0,3,3,0,5,3,1,9,6,1,14,8,7,7,8,6,2,2,3,1,1,5,0,6
1H4_MESSENGERS.X,35,1,2,14,16,21,7,40,13,8,12,5,4,57,32,16,73,32,57,49,40,40,9,11,22,7,10,30,6,34
1H4_MistressQuickly,190,9,39,133,80,132,29,271,73,34,92,35,49,401,182,78,505,252,331,299,284,268,72,67,128,73,69,199,64,204
1H4_Mortimer,253,7,53,158,106,260,27,430,95,53,129,47,56,539,298,117,720,317,520,456,381,392,52,138,185,69,90,302,75,317
1H4_Northumberland,100,2,17,56,49,102,11,151,47,17,52,26,22,212,114,50,276,122,204,188,138,148,22,42,75,31,26,122,28,120
1H4_Ostler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H4_Peto,35,1,8,27,13,55,6,76,7,6,27,9,8,89,50,15,124,48,91,72,67,62,8,22,29,11,15,47,13,49
