filename,voiced,voiceless
1H4_Archbishop,0.6431372549020.356862745098
1H4_Bardolph,0.6836461126010.316353887399
1H4_Bedford,0.6349206349210.365079365079
1H4_Blunt,0.6258503401360.374149659864
1H4_Chamberlain,0.6581818181820.341818181818
1H4_DRAWERS.Francis,0.6880733944950.311926605505
1H4_Douglas,0.6729264475740.327073552426
1H4_Falstaff,0.6598068038640.340193196136
1H4_Gadshill,0.6441515650740.355848434926
1H4_Glendower,0.6681071737250.331892826275
1H4_HenryIV,0.6582179762140.341782023786
1H4_HenryV,0.6562538738070.343746126193
1H4_Hotspur,0.6536019536020.346398046398
1H4_LadyPercy,0.6522292993630.347770700637
1H4_MESSENGERS.1,0.7692307692310.230769230769
1H4_MESSENGERS.2,0.6470588235290.352941176471
1H4_MESSENGERS.X,0.6666666666670.333333333333
1H4_MistressQuickly,0.6728110599080.327188940092
1H4_Mortimer,0.6427015250540.357298474946
1H4_Northumberland,0.6602209944750.339779005525
1H4_Ostler,00
1H4_Peto,0.6560509554140.343949044586
1H4_Poins,0.6438612933460.356138706654
1H4_SERVANTS.HOTSPUR.1,0.80.2
1H4_Sheriff,0.699186991870.30081300813
1H4_SirMichael,0.8240740740740.175925925926
1H4_TRAVELERS.CARRIERS,0.5714285714290.428571428571
1H4_TRAVELERS.CARRIERS.1,0.6339622641510.366037735849
1H4_TRAVELERS.CARRIERS.2,0.726190476190.27380952381
1H4_TRAVELERS.CARRIERS.X,0.50.5
1H4_TRAVELERS.GENTLEMEN,0.750.25
1H4_TRAVELERS.GENTLEMEN.0.1,0.7547169811320.245283018868
1H4_Vernon,0.6849462365590.315053763441
1H4_Vintner,0.6851851851850.314814814815
1H4_Westmoreland,0.6551724137930.344827586207
1H4_Worcester,0.6412853650020.358714634998
1H6_Alanson,0.646393210750.35360678925
1H6_Basset,0.6948717948720.305128205128
1H6_Bastard,0.6367816091950.363218390805
1H6_Bedford,0.6658496732030.334150326797
1H6_Boy,0.5961538461540.403846153846
1H6_Burgundy,0.6691729323310.330827067669
1H6_CardinalBeaufort,0.630404463040.36959553696
1H6_Charles,0.6456456456460.354354354354
1H6_Countess,0.6422287390030.357771260997
1H6_Exeter,0.6725755995830.327424400417
1H6_Fastolf,0.6666666666670.333333333333
1H6_Gargrave,0.7027027027030.297297297297
1H6_General,0.6683046683050.331695331695
1H6_Glansdale,0.80.2
1H6_Gloucester,0.630336688650.36966331135
1H6_HenryVI,0.652310924370.34768907563
1H6_JAILERS.0.1,0.7258064516130.274193548387
1H6_JohnTalbot,0.6617250673850.338274932615
1H6_Lawyer,0.70.3
1H6_Legate,0.8181818181820.181818181818
1H6_Lucy,0.6713505074160.328649492584
1H6_MESSENGERS.ENGLISH.1,0.6509803921570.349019607843
1H6_MESSENGERS.ENGLISH.2,0.6435643564360.356435643564
1H6_MESSENGERS.ENGLISH.3,0.6272108843540.372789115646
1H6_MESSENGERS.ENGLISH.X.1,0.7377049180330.262295081967
1H6_MESSENGERS.ENGLISH.X.2,0.6914893617020.308510638298
1H6_MESSENGERS.FRENCH.1,0.6839622641510.316037735849
1H6_MasterGunner,0.6456692913390.354330708661
1H6_Mayor,0.6156156156160.384384384384
1H6_Mortimer,0.6765772298770.323422770123
1H6_OFFICERS.0.1,0.7425742574260.257425742574
1H6_Porter,1.00.0
1H6_Pucelle,0.6494194851090.350580514891
1H6_QueenMargaret,0.6279569892470.372043010753
1H6_Reignier,0.6493799323560.350620067644
1H6_SERVANTS.1,0.5833333333330.416666666667
1H6_SERVANTS.2,0.80.2
1H6_SERVANTS.3,0.7333333333330.266666666667
1H6_SERVANTS.GLOUCESTER,0.5641025641030.435897435897
1H6_SERVANTS.GLOUCESTER.0.1,0.6463414634150.353658536585
1H6_SERVANTS.GLOUCESTER.0.2,0.660.34
1H6_SERVANTS.TALBOT.1,0.9411764705880.0588235294118
1H6_SERVANTS.WINCHESTER.0.1,0.7111111111110.288888888889
1H6_SOLDIERS.ENGLISH.0.1,0.9285714285710.0714285714286
1H6_SOLDIERS.ENGLISH.1,0.6557377049180.344262295082
1H6_SOLDIERS.ENGLISH.Captain,0.6511627906980.348837209302
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,0.5862068965520.413793103448
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,0.7105263157890.289473684211
1H6_SOLDIERS.FRENCH.Scout,0.6835443037970.316455696203
1H6_SOLDIERS.FRENCH.Sergeant,0.6721311475410.327868852459
1H6_Salisbury,0.6111111111110.388888888889
1H6_Shepherd,0.6627218934910.337278106509
1H6_Somerset,0.6624015748030.337598425197
1H6_Suffolk,0.6424710424710.357528957529
1H6_Talbot,0.6573999678610.342600032139
1H6_Vernon,0.6547884187080.345211581292
1H6_WARDERS.1,0.6750.325
1H6_WARDERS.2,0.70.3
1H6_WATCHMEN.1,0.6716417910450.328358208955
1H6_Warwick,0.6122448979590.387755102041
1H6_Watchman,0.7647058823530.235294117647
1H6_Woodville,0.6352941176470.364705882353
1H6_York,0.6486291486290.351370851371
2H4_Archbishop,0.6606741573030.339325842697
