play,character,x,y
AWW,Helen,-0.76402804,0.09820229
AWW,Parolles,-1.085336,-0.14970637
AWW,King,-1.03878051,0.25454868
AWW,Lafew,-1.01843776,-0.2268507
AWW,Countess,-1.15825653,0.12014859
AWW,Bertram,-0.65212714,0.42359771
AWW,Fool,-0.55901127,-0.60283118
AWW,LORDS.DUMAINE.1,-1.8063526,-0.22169314
AWW,Diana,0.12349249,0.83578275
AWW,LORDS.DUMAINE.2,-1.13801997,1.32630831
AWW,SOLDIERS.Interpreter,-1.74548245,0.66883019
AWW,Widow,-0.11958099,0.22467884
AWW,Steward,-0.89087146,0.96176639
AWW,Mariana,-3.131346,-1.40534236
AWW,GENTLEMEN.3,-0.20168372,2.38013187
AWW,Duke,-1.29357574,-4.09977602
AWW,GENTLEMEN.2,-1.576776,-4.28919543
AWW,GENTLEMEN.1,-6.74895541,-4.63510025
AWW,Epilogue,-6.94509471,1.13773903
AWW,Servant,-7.03513753,2.06874823
AWW,ATTENDANTS.KING.0.1,6.38149423,-2.21535795
AWW,ATTENDANTS.KING.0.2,-1.30131658,13.98768152
AWW,LORDS.COURT.4,-13.58240244,0.59974027
AWW,SOLDIERS.0.1,35.87501992,13.80383772
AWW,LORDS.COURT.2,-11.92329103,3.16979402
AWW,LORDS.COURT.1,-15.04949317,0.67236845
AWW,LORDS.COURT.3,-15.271521,-1.6211005
AWW,Page,33.95782285,-1.73219232
AWW,SOLDIERS,51.3440728,18.43577969
Ant,Antony,-0.61161679,0.19193276
Ant,Cleopatra,-0.86880249,0.03095308
Ant,Octavius,-1.18078155,-0.11233812
Ant,Enobarbus,-1.15408745,0.20633528
Ant,Pompey,-1.2952233,0.26469356
Ant,Charmian,-0.07507796,0.02298917
Ant,Menas,0.46643181,-0.16490285
Ant,Lepidus,-2.20162245,0.62282087
Ant,Agrippa,-0.20037139,0.7209259
Ant,Dolabella,0.01048431,1.35304365
Ant,Eros,1.04799306,0.00398905
Ant,Scarus,-1.50848588,-0.69023737
Ant,Maecenas,-2.65037159,0.91113788
Ant,Countryman,-2.62487786,-1.56048021
Ant,Octavia,2.68216279,0.41765487
Ant,MESSENGERS.X.2,5.66365476,-4.4881262
Ant,Ventidius,-2.20316627,-1.7621419
Ant,Proculeius,1.53597929,2.16248283
Ant,Soothsayer,-2.09356068,0.65189596
Ant,Alexas,0.11035684,1.73232264
Ant,Thidias,-1.43474296,1.83316444
Ant,Canidius,1.09008981,0.72579851
Ant,Iras,1.81615811,-0.35199228
Ant,GUARDS.Dercetus,-1.31466905,4.02433341
Ant,Diomedes,0.18690035,2.45753
Ant,Philo,-3.68421042,-2.14671681
Ant,Mardian,-4.39997807,-2.51442628
Ant,Ambassador,-3.7547118,0.29092481
Ant,WATCHMEN.Sentry,1.91289768,2.19983312
Ant,SOLDIERS.ANTONY.X.1,-4.02401094,1.79888711
Ant,GUARDS.CAESAR.0.1,-2.88468726,-2.68696844
Ant,MESSENGERS.ANTONY.1,-2.64731941,0.71193529
Ant,SOLDIERS.ANTONY.0.1,-2.00857237,3.52201699
Ant,SOLDIERS.ANTONY.0.2,-5.09238036,2.78398041
Ant,SERVANTS.0.1,2.60455195,0.77753333
Ant,MESSENGERS.CAESAR.2,2.09979875,1.84246698
Ant,Silius,-3.59656146,0.21562042
Ant,SOLDIERS.ANTONY.X.3,-2.09260851,5.86400509
Ant,SOLDIERS.CAESAR.X.1,-5.329414,1.99734812
Ant,SERVANTS.0.2,-3.55395077,1.33428299
Ant,MESSENGERS.CAESAR.1,1.45809276,5.07730333
Ant,Boy,2.20871346,-11.49912916
Ant,Egyptian,-4.47395524,2.62746521
Ant,GUARDS.0.1,-2.54709217,7.58733155
Ant,Demetrius,-1.11392692,8.41675361
Ant,SOLDIERS.ANTONY.0.3,-7.23270758,15.05404514
Ant,Varrius,-4.85373903,5.55944746
Ant,Seleucus,-4.34812093,8.41844753
Ant,WATCHMEN.2,-12.22237121,6.5036434
Ant,WATCHMEN.1,-5.48610142,13.09481041
Ant,CAPTAINS.0.1,4.74066325,-13.25277043
Ant,Gallus,14.74188112,17.20604126
Ant,MESSENGERS.ANTONY.3,0.63432399,-10.14489653
Ant,GUARDS.CAESAR.1,10.24111355,4.96056638
Ant,SOLDIERS.ANTONY.0.4,-10.32357144,11.44498811
Ant,SOLDIERS.ANTONY.X.2,-6.45771301,2.09826426
Ant,CAPTAINS,0.71322277,-16.94082816
Ant,GUARDS.0.2,-7.67900306,7.11600231
Ant,SOLDIERS.ANTONY,-10.7004947,16.83899644
Ant,MESSENGERS.X.3,5.5307921,17.26815762
Ant,ATTENDANTS.CAESAR,17.02056488,28.28109849
Ant,GUARDS.0.3,-16.39353897,-1.72733862
Ant,GUARDS.CAESAR.0.2,17.72682335,4.26983093
Ant,GUARDS,-20.94159906,-3.19296623
Ant,MESSENGERS.ANTONY.2,-3.15657312,-11.98859525
Ant,SERVANTS.X.2,27.25304243,1.54920481
Ant,MESSENGERS.X.1,31.4299875,-4.10084344
Ant,MESSENGERS.X.5,-14.60015213,-6.0045837
Ant,MESSENGERS.X.4,10.24614972,-38.42937524
Ant,SERVANTS.X.1,-25.57229677,-12.62006445
Ant,ATTENDANTS.ANTONY,-35.88607912,14.50983779
Ant,LADIES,-33.94523833,7.46225147
Ant,SERVANTS,6.42343989,-37.67979007
Ant,Taurus,42.09350613,-6.90608964
AYL,Rosalind,-0.72149963,-0.07950308
AYL,Touchstone,-0.95859063,-0.09016968
AYL,Orlando,-0.54472295,-0.16016306
AYL,Celia,-1.1756164,-0.10741356
AYL,Jaques,-0.99271198,-0.72629124
AYL,Oliver,-1.03040498,-0.37705302
AYL,DukeSenior,-0.90486225,-0.40695444
AYL,Phoebe,-0.87968149,2.03831004
AYL,Corin,-1.25386447,0.00459221
AYL,Silvius,-2.00220285,0.47635954
