character,A Midsummer Night's Dream,gender,numlines
HAMLET,A Midsummer Night's Dream,Male,1506
IAGO,A Midsummer Night's Dream,Male,1088
KING HENRY,A Midsummer Night's Dream,Male,1031
OTHELLO,A Midsummer Night's Dream,Male,880
TIMON,A Midsummer Night's Dream,Male,850
DUKE,A Midsummer Night's Dream,Male,847
ANTONY,A Midsummer Night's Dream,Male,839
LEAR,A Midsummer Night's Dream,Male,749
KING EDWARD,A Midsummer Night's Dream,Male,748
BRUTUS,A Midsummer Night's Dream,Male,722
MACBETH,A Midsummer Night's Dream,Male,715
TITUS,A Midsummer Night's Dream,Male,711
LEONTES,A Midsummer Night's Dream,Male,686
RICHARD,A Midsummer Night's Dream,Male,685
CORIOLANUS,A Midsummer Night's Dream,Male,675
PROSPERO,A Midsummer Night's Dream,Male,656
FALSTAFF,A Midsummer Night's Dream,Male,641
ROMEO,A Midsummer Night's Dream,Male,617
FALSTAFF,A Midsummer Night's Dream,Male,602
PERICLES,A Midsummer Night's Dream,Male,602
PALAMON,A Midsummer Night's Dream,Male,593
BEROWNE,A Midsummer Night's Dream,Male,592
PETRUCHIO,A Midsummer Night's Dream,Male,589
MENENIUS,A Midsummer Night's Dream,Male,578
PRINCE HAL,A Midsummer Night's Dream,Male,572
HOTSPUR,A Midsummer Night's Dream,Male,559
KING,All's Well That Ends Well,Male,552
TROILUS,All's Well That Ends Well,Male,537
BASTARD,All's Well That Ends Well,Male,523
ARCITE,All's Well That Ends Well,Male,521
CASSIUS,All's Well That Ends Well,Male,507
ULYSSES,All's Well That Ends Well,Male,485
KING RICHARD,All's Well That Ends Well,Male,466
KING RICHARD,All's Well That Ends Well,Male,463
KING HENRY,All's Well That Ends Well,Male,459
PROTEUS,All's Well That Ends Well,Male,446
POSTHUMUS,All's Well That Ends Well,Male,442
FALSTAFF,All's Well That Ends Well,Male,438
KING JOHN,All's Well That Ends Well,Male,437
WOLSEY,All's Well That Ends Well,Male,437
WARWICK,All's Well That Ends Well,Male,435
BENEDICK,All's Well That Ends Well,Male,430
IACHIMO,All's Well That Ends Well,Male,430
EDWARD,All's Well That Ends Well,Male,428
CAESAR,All's Well That Ends Well,Male,419
PANDARUS,All's Well That Ends Well,Male,414
TALBOT,All's Well That Ends Well,Male,406
EDGAR,All's Well That Ends Well,Male,392
VALENTINE,All's Well That Ends Well,Male,391
RICHARD,All's Well That Ends Well,Male,390
KING,All's Well That Ends Well,Male,380
YORK,All's Well That Ends Well,Male,379
BUCKINGHAM,Antony and Cleopatra,Male,374
PAROLLES,Antony and Cleopatra,Male,373
KENT,Antony and Cleopatra,Male,368
KING,Antony and Cleopatra,Male,363
AARON,Antony and Cleopatra,Male,357
POLONIUS,Antony and Cleopatra,Male,357
SHYLOCK,Antony and Cleopatra,Male,352
ENOBARBUS,Antony and Cleopatra,Male,346
LEONATO,Antony and Cleopatra,Male,344
SIR TOBY,Antony and Cleopatra,Male,343
KING HENRY,Antony and Cleopatra,Male,339
GLOUCESTER,Antony and Cleopatra,Male,338
BASSANIO,Antony and Cleopatra,Male,336
BELARIUS,Antony and Cleopatra,Male,336
FRIAR,Antony and Cleopatra,Male,332
MARCUS,Antony and Cleopatra,Male,329
ANTONY,Antony and Cleopatra,Male,329
THESEUS,Antony and Cleopatra,Male,328
BOLINGBROKE,Antony and Cleopatra,Male,324
DON PEDRO,Antony and Cleopatra,Male,323
ANGELO,Antony and Cleopatra,Male,320
KING,Antony and Cleopatra,Male,314
PRINCE HENRY,Antony and Cleopatra,Male,313
KING,Antony and Cleopatra,Male,311
EDMUND,Antony and Cleopatra,Male,307
GOWER,Antony and Cleopatra,Male,307
FESTE,Antony and Cleopatra,Male,306
GLOUCESTER,Antony and Cleopatra,Male,303
SICINIUS,Antony and Cleopatra,Male,302
ORLANDO,Antony and Cleopatra,Male,301
FORD,Antony and Cleopatra,Male,300
CAMILLO,Antony and Cleopatra,Male,298
SUFFOLK,Antony and Cleopatra,Male,298
LUCIO,Antony and Cleopatra,Male,296
HORATIO,Antony and Cleopatra,Male,294
RICHARD,Antony and Cleopatra,Male,293
KING HENRY IV,Antony and Cleopatra,Male,291
AUTOLYCUS,Antony and Cleopatra,Male,291
ANTIPHOLUS OF SYRACUSE,Antony and Cleopatra,Male,291
TRANIO,Antony and Cleopatra,Male,291
CYMBELINE,Antony and Cleopatra,Male,290
YORK,Antony and Cleopatra,Male,286
TOUCHSTONE,Antony and Cleopatra,Male,283
THERSITES,Antony and Cleopatra,Male,283
CLAUDIO,Antony and Cleopatra,Male,282
MALVOLIO,Antony and Cleopatra,Male,281
PRINCE,Antony and Cleopatra,Male,281
FLUELLEN,Antony and Cleopatra,Male,278
COMINIUS,Antony and Cleopatra,Male,278
BERTRAM,Antony and Cleopatra,Male,277
LAFEW,Antony and Cleopatra,Male,276
AUFIDIUS,Antony and Cleopatra,Male,274
CASSIO,Antony and Cleopatra,Male,274
POLIXENES,Antony and Cleopatra,Male,272
CAPULET,Antony and Cleopatra,Male,272
KING JOHN,Antony and Cleopatra,Male,271
CLOTEN,Antony and Cleopatra,Male,260
MERCUTIO,Antony and Cleopatra,Male,259
BOTTOM,Antony and Cleopatra,Male,255
APEMANTUS,Antony and Cleopatra,Male,249
BRUTUS,Antony and Cleopatra,Male,246
DROMIO OF SYRACUSE,Antony and Cleopatra,Male,244
CADE,Antony and Cleopatra,Male,238
ARMADO,Antony and Cleopatra,Male,235
THESEUS,Antony and Cleopatra,Male,235
FOOL,Antony and Cleopatra,Male,227
BOYET,Antony and Cleopatra,Male,227
OBERON,Antony and Cleopatra,Male,225
CANTERBURY,Antony and Cleopatra,Male,224
CHORUS,Antony and Cleopatra,Male,223
JAQUES,Antony and Cleopatra,Male,221
ORSINO,As You Like It,Male,220
PISANIO,As You Like It,Male,217
EVANS,As You Like It,Male,217
HECTOR,As You Like It,Male,213
