o,'OW',s,''
god,'G AA D',s,'AA'
sve,'EH V',s,''
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
the,'DH AH',s,''
to,'T UW',s,'UW'
what,'W AH T',s,''
shall,'SH AE L',s,'AE'
of,'AH V',s,''
the,'DH AH',s,''
great,'G r e T',s,''
of,'AH V',s,''
wre,'W ER',s,''
you,'Y UW',s,'UW'
speak,'S P IY K',s,'IY'
what,'W AH T',s,''
is,'IH Z',s,'IH'
he,'HH IY',s,'IY'
guilty,'G IH L T IY',s,'IH IY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
for,'F AO R',s,'AO'
but,'B AH T',s,''
passed,'P AW S IH D',s,'IH'
it,'IH T',s,'IH'
that,'DH AE T',s,'AE'
was,'W AA Z',s,'AA'
he,'HH IY',s,'IY'
that,'DH AE T',s,'AE'
fed,'F EH D',s,''
him,'HH IH M',s,'IH'
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
after,'AW F T ǝ R',s,''
all,'AA L',s,'AA'
this,'DH IH S',s,'IH'
did,'D IH D',s,'IH'
he,'HH IY',s,'IY'
bear,'B EH R',s,''
himself,'HH IH M S EH L F',s,'IH'
i,'AY',s,'AY'
do,'D OW',s,''
not,'N AA T',s,'AA'
think,'TH IH NG K',s,'IH'
he,'HH IY',s,'IY'
fears,'F IY R Z',s,'IY'
death,'D EH TH',s,''
the,'DH AH',s,''
cardinal,'K AA R D AH N AH L',s,'AA'
is,'IH Z',s,'IH'
the,'DH AH',s,''
end,'EH N D',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
that,'DH AE T',s,'AE'
trick,'T R IH K',s,'IH'
of,'AH V',s,''
was,'W AA Z',s,'AA'
a,'AH',s,''
deep,'D IY P',s,'IY'
all,'AA L',s,'AA'
the,'DH AH',s,''
commons,'K AA M AH N Z',s,'AA'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
my,'M AY',s,'AY'
wish,'W IH SH',s,'IH'
him,'HH IH M',s,'IH'
ten,'T EH N',s,''
fathom,'F AW D ǝ M',s,''
deep,'D IY P',s,'IY'
this,'DH IH S',s,'IH'
as,'AE Z',s,'AE'
and,'AH N D',s,''
on,'AA N',s,'AA'
call,'K AO L',s,'AO'
him,'HH IH M',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
all,'AA L',s,'AA'
stand,'S T AE N D',s,'AE'
and,'AH N D',s,''
behold,'B IH HH OW L D',s,'IH'
him,'HH IH M',s,'IH'
if,'IH F',s,'IH'
the,'DH AH',s,''
be,'B IY',s,'IY'
guiltless,'G IH L T L ǝ S',s,'IH'
full,'F UH L',s,'UH'
of,'AH V',s,''
woe,'W OW',s,''
yet,'Y EH T',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
you,'Y UW',s,'UW'
of,'AH V',s,''
an,'AE N',s,'AE'
evil,'e V IH L',s,'IH'
if,'IH F',s,'IH'
it,'IH T',s,'IH'
fall,'F AA L',s,'AA'
greater,'G r e T ǝ R',s,''
than,'DH AE N',s,'AE'
this,'DH IH S',s,'IH'
this,'DH IH S',s,'IH'
secret,'S IY K R AH T',s,'IY'
