hie,'ǝ IH',s,'IH'
good,'G UH D',s,'UH'
bear,'B EH R',s,''
this,'DH IH S',s,'IH'
brief,'B R IY F',s,'IY'
with,'W IH DH',s,'IH'
hate,'AW S T',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
lord,'L AO R D',s,'AO'
marshal,'M AA R SH AA L',s,'AA AA'
this,'DH IH S',s,'IH'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
cousin,'K AH Z AH N',s,''
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
rest,'R EH S T',s,''
to,'T UW',s,'UW'
whom,'HH UW M',s,'UW'
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
do,'D OW',s,''
import,'IH M P AO R T',s,'IH AO'
you,'Y UW',s,'UW'
hate,'AW S T',s,''
you,'Y UW',s,'UW'
do,'D OW',s,''
good,'G UH D',s,'UH'
is,'IH Z',s,'IH'
a,'AH',s,''
wherein,'ʍ EH R IH N',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
ten,'T EH N',s,''
men,'M EH N',s,''
must,'M AH S T',s,''
the,'DH AH',s,''
for,'F AO R',s,'AO'
at,'AE T',s,'AE'
shhrewsbury,'SH r OW Z B ǝ ˌ r ǝ IH',s,'IH'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
given,'G IH V AH N',s,'IH'
to,'T UW',s,'UW'
the,'DH AH',s,''
with,'W IH DH',s,'IH'
mighty,'M ǝ IH T ǝ IH',s,'IH IH'
and,'AH N D',s,''
meets,'M IY T S',s,'IY'
with,'W IH DH',s,'IH'
lord,'L AO R D',s,'AO'
and,'AH N D',s,''
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
what,'W AH T',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
was,'W AA Z',s,'AA'
in,'IH N',s,'IH'
the,'DH AH',s,''
and,'AH N D',s,''
what,'W AH T',s,''
with,'W IH DH',s,'IH'
who,'HH UW',s,'UW'
with,'W IH DH',s,'IH'
them,'DH EH M',s,''
was,'W AA Z',s,'AA'
a,'AH',s,''
rated,'r EH T IH D',s,'IH'
too,'T UW',s,'UW'
and,'AH N D',s,''
not,'N AA T',s,'AA'
in,'IH N',s,'IH'
by,'B AY',s,'AY'
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
the,'DH AH',s,''
of,'AH V',s,''
is,'IH Z',s,'IH'
too,'T UW',s,'UW'
weak,'W IY K',s,'IY'
to,'T UW',s,'UW'
an,'AE N',s,'AE'
instant,'IH N S T AH N T',s,'IH'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
no,'N OW',s,''
mortimer,'M AO R T IH M ǝ R',s,'AO IH'
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
and,'AH N D',s,''
so,'S OW',s,''
is,'IH Z',s,'IH'
but,'B AH T',s,''
yet,'Y EH T',s,''
the,'DH AH',s,''
hath,'HH AE TH',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
land,'L AE N D',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
lord,'L AO R D',s,'AO'
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
the,'DH AH',s,''
westmoreland,'W e S T M ǝ R ˌ L AW N D',s,''
and,'AH N D',s,''
blunt,'B L ɤ N T',s,''
and,'AH N D',s,''
and,'AH N D',s,''
dear,'D IY R',s,'IY'
men,'M EH N',s,''
of,'AH V',s,''
and,'AH N D',s,''
command,'K ǝ M AW N D',s,''
in,'IH N',s,'IH'
arms,'AA R M Z',s,'AA'
i,'AY',s,'AY'
no,'N OW',s,''
less,'L EH S',s,''
yet,'Y EH T',s,''
needful,'N IY D F AH L',s,'IY'
to,'T UW',s,'UW'
fear,'F IY R',s,'IY'
and,'AH N D',s,''
to,'T UW',s,'UW'
prevent,'P R IH V EH N T',s,'IH'
the,'DH AH',s,''
worst,'W AO R S T',s,'AO'
speed,'S P IY D',s,'IY'
for,'F AO R',s,'AO'
if,'IH F',s,'IH'
lord,'L AO R D',s,'AO'
thhrve,'TH R AY V',s,'AY'
not,'N AA T',s,'AA'
the,'DH AH',s,''
dismiss,'D IH S M IH S',s,'IH IH'
his,'HH IH Z',s,'IH'
he,'HH IY',s,'IY'
means,'M IY N Z',s,'IY'
to,'T UW',s,'UW'
visit,'V IH Z AH T',s,'IH'
us,'AH S',s,''
for,'F AO R',s,'AO'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
of,'AH V',s,''
our,'OW R',s,''
and,'AH N D',s,''
but,'B AH T',s,''
wisdom,'W IH Z D AH M',s,'IH'
to,'T UW',s,'UW'
against,'AH G EH N S T',s,''
him,'HH IH M',s,'IH'
therefre,'DH EH R F AO R',s,'AO'
hate,'AW S T',s,''
i,'AY',s,'AY'
must,'M AH S T',s,''
go,'G OW',s,''
again,'ǝ ɡ EH N',s,''
to,'T UW',s,'UW'
friends,'F R EH N D Z',s,''
and,'AH N D',s,''
so,'S OW',s,''
